# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling5000.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '5000.ka' -seed 318489490
# "uuid" : "280806410"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,14,0,33,13,13,6,14,10,5,0,24,1,30,8,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,2,18,0,36,13,12,4,11,12,3,0,25,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,13,0,36,14,15,7,10,12,5,0,27,0,30,7,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,21,0,36,14,11,4,12,9,4,0,27,1,30,8,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,3,16,0,38,13,14,6,10,9,6,0,27,0,30,7,0,0,140,35,140,0,0,0,0,0,138,2,0,0,0,0,140,0,0,0,0,0
6.,139,1,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,0,21,0,40,14,15,2,11,14,1,0,27,1,30,6,0,0,140,35,140,0,0,0,0,0,138,2,0,0,0,0,140,0,0,0,0,0
7.,141,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,21,0,0,17,0,38,16,16,4,13,15,4,0,29,0,30,3,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,141,0,0,0,0,0
8.,140,1,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,20,0,8,22,0,34,15,7,7,15,6,5,0,33,0,30,3,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,141,0,0,0,0,0
9.,141,0,0,0,0,0,0,40,0,0,40,1,48,0,2,15,0,40.,0,40,10,50,0,0,0,20,0,3,15,0,38,16,15,7,15,13,6,0,28,0,30,7,0,0,141,35,141,0,0,0,0,0,140,1,0,0,0,0,141,0,0,0,0,0
